player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
James Anderson,RET,5,GUARD-FORWARD,78.0,213.0,Oklahoma State,USA,1989-03-25,https://www.nba.com/player/202341/james-anderson,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202341.png,False,202341,"['GUARD', 'FORWARD']",GUARD,FORWARD,2010,1,20,Drafted,anderja01
Jerome Anderson,RET,21-23,GUARD,77.0,195.0,West Virginia,USA,1953-10-09,https://www.nba.com/player/76040/HISTADD-jerome-anderson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76040.png,True,76040,['GUARD'],GUARD,,1975,1,53,Drafted,anderje01
Justin Anderson,RET,,FORWARD-GUARD,77.0,231.0,Virginia,USA,1993-11-19,https://www.nba.com/player/1626147/justin-anderson,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626147.png,False,1626147,"['FORWARD', 'GUARD']",FORWARD,GUARD,2015,1,21,Drafted,anderju01
Kenny Anderson,RET,,GUARD,73.0,168.0,Georgia Tech,USA,1970-10-09,https://www.nba.com/player/72/kenny-anderson,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/72.png,False,72,['GUARD'],GUARD,,1991,1,2,Drafted,anderke01
Kim Anderson,RET,42,FORWARD,79.0,200.0,Missouri,USA,1955-05-12,https://www.nba.com/player/76041/HISTADD-kim-anderson,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76041.png,True,76041,['FORWARD'],FORWARD,,1978,1,146,Drafted,anderki01
Kyle Anderson,MIA,20,FORWARD-GUARD,81.0,230.0,UCLA,USA,1993-09-20,https://www.nba.com/player/203937/kyle-anderson,True,False,False,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png,False,203937,"['FORWARD', 'GUARD']",FORWARD,GUARD,2014,1,30,Drafted,anderky01
Michael Anderson,RET,10,GUARD,71.0,184.0,Drexel,USA,1966-03-23,https://www.nba.com/player/76042/HISTADD-michael-anderson,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76042.png,True,76042,['GUARD'],GUARD,,1988,1,73,Drafted,andermi01
Mitchell Anderson,RET,11,FORWARD,80.0,195.0,Bradley,USA,1960-09-23,https://www.nba.com/player/76043/HISTADD-jj-anderson,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76043.png,True,76043,['FORWARD'],FORWARD,,1982,1,36,Drafted,andermi02
Nick Anderson,RET,5,FORWARD-GUARD,78.0,228.0,Illinois,USA,1968-01-20,https://www.nba.com/player/98/nick-anderson,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/98.png,False,98,"['FORWARD', 'GUARD']",FORWARD,GUARD,1989,1,11,Drafted,anderni01
Richard Anderson,RET,35,FORWARD,82.0,240.0,California-Santa Barbara,USA,1960-11-19,https://www.nba.com/player/76045/HISTADD-richard-anderson,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76045.png,True,76045,['FORWARD'],FORWARD,,1982,1,32,Drafted,anderri01
Ron Anderson,RET,35,FORWARD,79.0,215.0,Fresno State,USA,1958-10-15,https://www.nba.com/player/76046/HISTADD-ron-anderson,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76046.png,True,76046,['FORWARD'],FORWARD,,1984,1,27,Drafted,anderro01
Ryan Anderson,RET,,FORWARD,81.0,240.0,California,USA,1988-05-06,https://www.nba.com/player/201583/ryan-anderson,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201583.png,False,201583,['FORWARD'],FORWARD,,2008,1,21,Drafted,anderry01
Shandon Anderson,RET,49,GUARD-FORWARD,78.0,215.0,Georgia,USA,1973-12-31,https://www.nba.com/player/1000/shandon-anderson,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1000.png,False,1000,"['GUARD', 'FORWARD']",GUARD,FORWARD,1996,2,54,Drafted,andersh01
Willie Anderson,RET,35,GUARD-FORWARD,80.0,200.0,Georgia,USA,1967-01-08,https://www.nba.com/player/335/willie-anderson,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/335.png,False,335,"['GUARD', 'FORWARD']",GUARD,FORWARD,1988,1,10,Drafted,anderwi01
Wally Anderzunas,RET,21,CENTER,79.0,220.0,Creighton,USA,1946-01-11,https://www.nba.com/player/76048/HISTADD-wally-anderzunas,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76048.png,True,76048,['CENTER'],CENTER,,1969,1,25,Drafted,anderwa01
Martynas Andriuskevicius,RET,15,CENTER,86.0,240.0,Zalgiris,Lithuania,1986-03-12,https://www.nba.com/player/101149/martynas-andriuskevicius,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101149.png,False,101149,['CENTER'],CENTER,,2005,2,44,Drafted,andrima01
Don Anielak,RET,12,FORWARD,79.0,190.0,Missouri State,USA,1930-11-01,https://www.nba.com/player/76049/HISTADD-don-anielak,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76049.png,True,76049,['FORWARD'],FORWARD,,1954,1,26,Drafted,anieldo01
Ike Anigbogu,RET,,CENTER,82.0,250.0,UCLA,USA,1998-10-16,https://www.nba.com/player/1628387/ike-anigbogu,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628387.png,False,1628387,['CENTER'],CENTER,,2017,2,47,Drafted,anigbik01
Michael Ansley,RET,54,FORWARD,79.0,225.0,Alabama,USA,1967-02-08,https://www.nba.com/player/76050/HISTADD-michael-ansley,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76050.png,True,76050,['FORWARD'],FORWARD,,1989,1,37,Drafted,anslemi01
Chris Anstey,RET,22,CENTER,84.0,249.0,South East Melbourne,Australia,1975-01-01,https://www.nba.com/player/1512/chris-anstey,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1512.png,False,1512,['CENTER'],CENTER,,1997,1,18,Drafted,anstech01
Giannis Antetokounmpo,MIL,34,FORWARD,83.0,243.0,Filathlitikos,Greece,1994-12-06,https://www.nba.com/player/203507/giannis-antetokounmpo,True,False,False,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png,False,203507,['FORWARD'],FORWARD,,2013,1,15,Drafted,antetgi01
Kostas Antetokounmpo,RET,37,FORWARD,82.0,200.0,Dayton,Greece,1997-11-20,https://www.nba.com/player/1628961/kostas-antetokounmpo,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628961.png,False,1628961,['FORWARD'],FORWARD,,2018,2,60,Drafted,antetko01
Thanasis Antetokounmpo,RET,43,FORWARD,79.0,219.0,Panathinaikos,Greece,1992-07-18,https://www.nba.com/player/203648/thanasis-antetokounmpo,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png,False,203648,['FORWARD'],FORWARD,,2014,2,51,Drafted,antetth01
Carmelo Anthony,RET,7,FORWARD,79.0,238.0,Syracuse,USA,1984-05-29,https://www.nba.com/player/2546/carmelo-anthony,False,False,True,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2546.png,False,2546,['FORWARD'],FORWARD,,2003,1,3,Drafted,anthoca01
Cole Anthony,ORL,50,GUARD,74.0,185.0,North Carolina,USA,2000-05-15,https://www.nba.com/player/1630175/cole-anthony,True,False,False,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png,False,1630175,['GUARD'],GUARD,,2020,1,15,Drafted,anthoco01
Greg Anthony,RET,50,GUARD,73.0,180.0,UNLV,USA,1967-11-15,https://www.nba.com/player/21/greg-anthony,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/21.png,False,21,['GUARD'],GUARD,,1991,1,12,Drafted,anthogr01
Joel Anthony,RET,30,CENTER,81.0,245.0,UNLV,Canada,1982-08-09,https://www.nba.com/player/201202/joel-anthony,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201202.png,False,201202,['CENTER'],CENTER,,0,0,0,UDF,anthojo01
Pero Antic,RET,6,FORWARD-CENTER,83.0,260.0,Olympiacos,Macedonia,1982-07-29,https://www.nba.com/player/203544/pero-antic,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203544.png,False,203544,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,anticpe01
OG Anunoby,NYK,8,FORWARD-GUARD,79.0,240.0,Indiana,United Kingdom,1997-07-17,https://www.nba.com/player/1628384/og-anunoby,True,False,False,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png,False,1628384,"['FORWARD', 'GUARD']",FORWARD,GUARD,2017,1,23,Drafted,anunoog01
Keith Appling,RET,,GUARD,73.0,185.0,Michigan State,USA,1992-02-13,https://www.nba.com/player/203951/keith-appling,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203951.png,False,203951,['GUARD'],GUARD,,0,0,0,UDF,applike01
Rafael Araujo,RET,55,CENTER,83.0,270.0,Brigham Young,Brazil,1980-08-12,https://www.nba.com/player/2737/rafael-araujo,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2737.png,False,2737,['CENTER'],CENTER,,2004,1,8,Drafted,araujra01
Stacey Arceneaux,RET,,FORWARD,76.0,210.0,Iowa State,USA,1936-02-17,https://www.nba.com/player/76053/HISTADD-stacey-arceneaux,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76053.png,True,76053,['FORWARD'],FORWARD,,0,0,0,UDF,arcenst01
Nate Archibald,RET,1,GUARD,73.0,150.0,Texas-El Paso,USA,1948-09-02,https://www.nba.com/player/76054/HISTADD-nate-archibald,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76054.png,True,76054,['GUARD'],GUARD,,1970,1,19,Drafted,archina01
Robert Archibald,RET,34,FORWARD,83.0,250.0,Illinois,Scotland,1980-03-29,https://www.nba.com/player/2425/robert-archibald,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2425.png,False,2425,['FORWARD'],FORWARD,,2002,2,31,Drafted,archiro01
Ryan Arcidiacono,RET,,GUARD,75.0,195.0,Villanova,USA,1994-03-26,https://www.nba.com/player/1627853/ryan-arcidiacono,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627853.png,False,1627853,['GUARD'],GUARD,,0,0,0,UDF,arcidry01
Jim Ard,RET,34,CENTER,81.0,215.0,Cincinnati,USA,1948-09-19,https://www.nba.com/player/76055/HISTADD-jim-ard,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76055.png,True,76055,['CENTER'],CENTER,,1970,1,6,Drafted,ardji0100
Gilbert Arenas,RET,10,GUARD,76.0,215.0,Arizona,USA,1982-01-06,https://www.nba.com/player/2240/gilbert-arenas,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2240.png,False,2240,['GUARD'],GUARD,,2001,2,30,Drafted,arenagi01
Trevor Ariza,RET,,FORWARD,80.0,215.0,UCLA,USA,1985-06-30,https://www.nba.com/player/2772/trevor-ariza,False,False,True,18.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2772.png,False,2772,['FORWARD'],FORWARD,,2004,2,43,Drafted,arizatr01
Paul Arizin,RET,11,FORWARD,76.0,190.0,Villanova,USA,1928-04-09,https://www.nba.com/player/76056/HISTADD-paul-arizin,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76056.png,True,76056,['FORWARD'],FORWARD,,1950,1,,Drafted,arizipa01
Joe Arlauckas,RET,53,FORWARD,81.0,230.0,Niagara,USA,1965-07-20,https://www.nba.com/player/76057/HISTADD-joe-arlauckas,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76057.png,True,76057,['FORWARD'],FORWARD,,1987,1,74,Drafted,arlaujo01
B.J. Armstrong,RET,11,GUARD,74.0,185.0,Iowa,USA,1967-09-09,https://www.nba.com/player/769/b.j.-armstrong,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False,769,['GUARD'],GUARD,,0,0,0,UDF,armstbj01
Bob Armstrong,RET,19,CENTER,80.0,220.0,Michigan State,USA,1933-06-17,https://www.nba.com/player/76061/HISTADD-bob-armstrong,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76061.png,True,76061,['CENTER'],CENTER,,1955,1,,Drafted,armstbo01
Brandon Armstrong,RET,1,GUARD,77.0,185.0,Pepperdine,USA,1980-06-16,https://www.nba.com/player/2220/brandon-armstrong,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2220.png,False,2220,['GUARD'],GUARD,,2001,1,23,Drafted,armstbr01
Darrell Armstrong,RET,10,GUARD,73.0,180.0,Fayetteville State,USA,1968-06-22,https://www.nba.com/player/353/darrell-armstrong,False,False,True,15.0,https://cdn.nba.com/headshots/nba/latest/1040x760/353.png,False,353,['GUARD'],GUARD,,0,0,0,UDF,armstda01
Hilton Armstrong,RET,57,FORWARD-CENTER,83.0,235.0,Connecticut,USA,1984-11-23,https://www.nba.com/player/200756/hilton-armstrong,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200756.png,False,200756,"['FORWARD', 'CENTER']",FORWARD,CENTER,2006,1,12,Drafted,armsthi01
Paul Armstrong,RET,3,GUARD,71.0,170.0,Indiana,USA,1918-11-01,https://www.nba.com/player/76060/HISTADD-curly-armstrong,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76060.png,True,76060,['GUARD'],GUARD,,0,0,0,UDF,armstpa01
Taran Armstrong,GSW,1,GUARD,77.0,190.0,"Cairns, Australia",Australia,2002-01-15,https://www.nba.com/player/1642379/tmp-taran-armstrong,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png,False,1642379,['GUARD'],GUARD,,0,0,0,UDF,armstta01
Tate Armstrong,RET,14,GUARD,75.0,175.0,Duke,USA,1955-10-05,https://www.nba.com/player/76059/HISTADD-tate-armstrong,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76059.png,True,76059,['GUARD'],GUARD,,1977,1,13,Drafted,armstta02
Jesse Arnelle,RET,15-18,FORWARD,77.0,220.0,Penn State,USA,1933-12-30,https://www.nba.com/player/76062/HISTADD-jesse-arnelle,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76062.png,True,76062,['FORWARD'],FORWARD,,1955,1,13,Drafted,arnelje01
Jay Arnette,RET,21,GUARD,74.0,175.0,Texas,USA,1938-12-19,https://www.nba.com/player/76063/HISTADD-jay-arnette,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76063.png,True,76063,['GUARD'],GUARD,,1960,1,9,Drafted,arnetja01
Bob Arnzen,RET,21-30,FORWARD,77.0,205.0,Notre Dame,USA,1947-11-03,https://www.nba.com/player/76064/HISTADD-bob-arnzen,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76064.png,True,76064,['FORWARD'],FORWARD,,1969,1,103,Drafted,arnzebo01
Carlos Arroyo,RET,45,GUARD,74.0,200.0,Florida International,Puerto Rico,1979-07-30,https://www.nba.com/player/2306/carlos-arroyo,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2306.png,False,2306,['GUARD'],GUARD,,0,0,0,UDF,arroyca01
Darrell Arthur,RET,00,FORWARD,81.0,235.0,Kansas,USA,1988-03-25,https://www.nba.com/player/201589/darrell-arthur,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201589.png,False,201589,['FORWARD'],FORWARD,,2008,1,27,Drafted,arthuda01
John Arthurs,RET,12,GUARD,76.0,185.0,Tulane,USA,1947-08-15,https://www.nba.com/player/76065/HISTADD-john-arthurs,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76065.png,True,76065,['GUARD'],GUARD,,1969,1,73,Drafted,arthujo01
Jamel Artis,RET,0,GUARD,79.0,213.0,Pittsburgh,USA,1993-01-12,https://www.nba.com/player/1628503/jamel-artis,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,False,1628503,['GUARD'],GUARD,,0,0,0,UDF,artisja01
Omer Asik,RET,3,CENTER,84.0,255.0,Fenerbahce,Turkey,1986-07-04,https://www.nba.com/player/201600/omer-asik,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201600.png,False,201600,['CENTER'],CENTER,,2008,2,36,Drafted,asikom010
Vincent Askew,RET,,GUARD,78.0,210.0,Memphis,USA,1966-02-28,https://www.nba.com/player/355/vincent-askew,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/355.png,False,355,['GUARD'],GUARD,,1987,2,39,Drafted,askewvi01
Keith Askins,RET,2,FORWARD-GUARD,80.0,215.0,Alabama,USA,1967-12-15,https://www.nba.com/player/173/keith-askins,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/173.png,False,173,"['FORWARD', 'GUARD']",FORWARD,GUARD,0,0,0,UDF,askinke01
Don Asmonga,RET,,GUARD,74.0,185.0,Alliance,USA,1928-02-15,https://www.nba.com/player/76068/HISTADD-don-asmonga,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76068.png,True,76068,['GUARD'],GUARD,,0,0,0,UDF,asmondo01
Richard Atha,RET,7,GUARD,74.0,190.0,Indiana State,USA,1931-09-21,https://www.nba.com/player/76069/HISTADD-dick-atha,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76069.png,True,76069,['GUARD'],GUARD,,1953,1,,Drafted,athari010
Chucky Atkins,RET,17,GUARD,71.0,185.0,South Florida,USA,1974-08-14,https://www.nba.com/player/1088/chucky-atkins,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1088.png,False,1088,['GUARD'],GUARD,,0,0,0,UDF,atkinch01
Alvin Attles,RET,16,GUARD,73.0,175.0,North Carolina A&T,USA,1936-11-07,https://www.nba.com/player/76070/HISTADD-alvin-attles,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76070.png,True,76070,['GUARD'],GUARD,,1960,1,39,Drafted,attleal01
Chet Aubuchon,RET,,GUARD,70.0,137.0,Michigan State,USA,1916-05-08,https://www.nba.com/player/76071/HISTADD-chet-aubuchon,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76071.png,True,76071,['GUARD'],GUARD,,0,0,0,UDF,aubucch01
Stacey Augmon,RET,2,FORWARD-GUARD,80.0,213.0,UNLV,USA,1968-08-01,https://www.nba.com/player/278/stacey-augmon,False,False,True,16.0,https://cdn.nba.com/headshots/nba/latest/1040x760/278.png,False,278,"['FORWARD', 'GUARD']",FORWARD,GUARD,1991,1,9,Drafted,augmost01
D.J. Augustin,RET,4,GUARD,71.0,183.0,Texas,USA,1987-11-10,https://www.nba.com/player/201571/d.j.-augustin,False,False,True,15.0,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False,201571,['GUARD'],GUARD,,0,0,0,UDF,augusdj01
James Augustine,RET,40,FORWARD,82.0,235.0,Illinois,USA,1984-02-27,https://www.nba.com/player/200788/james-augustine,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200788.png,False,200788,['FORWARD'],FORWARD,,2006,2,41,Drafted,augusja01
Ike Austin,RET,,CENTER,82.0,288.0,Arizona State,USA,1969-08-18,https://www.nba.com/player/1134/ike-austin,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1134.png,False,1134,['CENTER'],CENTER,,1991,2,48,Drafted,austiik01
John Austin,RET,34,GUARD,72.0,170.0,Boston College,USA,1944-08-31,https://www.nba.com/player/76073/HISTADD-johnny-austin,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76073.png,True,76073,['GUARD'],GUARD,,1966,1,38,Drafted,austijo01
Ken Austin,RET,34,FORWARD,81.0,205.0,Rice,USA,1961-07-15,https://www.nba.com/player/76074/HISTADD-ken-austin,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76074.png,True,76074,['FORWARD'],FORWARD,,1983,1,101,Drafted,austike01
Deni Avdija,POR,8,FORWARD,81.0,240.0,Maccabi Tel Aviv,Israel,2001-01-03,https://www.nba.com/player/1630166/deni-avdija,True,False,False,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png,False,1630166,['FORWARD'],FORWARD,,2020,1,9,Drafted,avdijde01
Anthony Avent,RET,30,CENTER,81.0,240.0,Seton Hall,USA,1969-10-18,https://www.nba.com/player/138/anthony-avent,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/138.png,False,138,['CENTER'],CENTER,,1991,1,15,Drafted,aventan01
William Averitt,RET,15,GUARD,74.0,170.0,Pepperdine,USA,1952-07-22,https://www.nba.com/player/76076/HISTADD-bird-averitt,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76076.png,True,76076,['GUARD'],GUARD,,1973,1,55,Drafted,averiwi01
William Avery,RET,30,GUARD,74.0,180.0,Duke,USA,1979-08-08,https://www.nba.com/player/1895/william-avery,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1895.png,False,1895,['GUARD'],GUARD,,1999,1,14,Drafted,averywi01
Dennis Awtrey,RET,20,CENTER,82.0,235.0,Santa Clara,USA,1948-02-22,https://www.nba.com/player/76078/HISTADD-dennis-awtrey,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76078.png,True,76078,['CENTER'],CENTER,,1970,1,46,Drafted,awtrede01
Joel Ayayi,RET,,GUARD,76.0,180.0,Gonzaga,France,2000-03-05,https://www.nba.com/player/1630555/joel-ayayi,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630555.png,False,1630555,['GUARD'],GUARD,,0,0,0,UDF,ayayijo01
Gustavo Ayon,RET,,NAN,,,Baloncesto Fuenlabrada,Mexico,1985-04-01,https://www.nba.com/player/202970/gustavo-ayon,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202970.png,False,202970,['NAN'],NAN,,0,0,0,UDF,ayongu010
Jeff Ayres,RET,19,FORWARD-CENTER,81.0,250.0,Arizona State,USA,1987-04-29,https://www.nba.com/player/201965/jeff-ayres,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201965.png,False,201965,"['FORWARD', 'CENTER']",FORWARD,CENTER,2009,2,31,Drafted,ayresje01
Deandre Ayton,POR,2,CENTER,84.0,252.0,Arizona,Bahamas,1998-07-23,https://www.nba.com/player/1629028/deandre-ayton,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,False,1629028,['CENTER'],CENTER,,2018,1,1,Drafted,aytonde01
Kelenna Azubuike,RET,4,GUARD,77.0,215.0,Kentucky,United Kingdom,1983-12-16,https://www.nba.com/player/101235/kelenna-azubuike,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101235.png,False,101235,['GUARD'],GUARD,,0,0,0,UDF,azubuke01
Udoka Azubuike,RET,27,CENTER-FORWARD,83.0,270.0,Kansas,Nigeria,1999-09-17,https://www.nba.com/player/1628962/udoka-azubuike,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628962.png,False,1628962,"['CENTER', 'FORWARD']",CENTER,FORWARD,2020,1,27,Drafted,azubuud01
Chris Babb,RET,52,GUARD,77.0,225.0,Iowa State,USA,1990-02-14,https://www.nba.com/player/203569/chris-babb,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203569.png,False,203569,['GUARD'],GUARD,,0,0,0,UDF,babbch010
